,V0,X,Y,FFID,Elevation
0,1.3846153846153846,385828.39,6353030.37,23435312,107.8
1,1.3846153846153846,385779.01,6353022.47,23435311,107.2
2,1.3846153846153846,385729.43,6353014.68,23435310,107.4
3,1.2857142857142858,385680.05,6353006.78,23435309,107.6
4,1.2857142857142858,385631.07,6352999.08,23435308,107.6
5,1.3846153846153846,385581.39,6352991.19,23435307,107.3
6,1.3846153846153846,385532.41,6352983.39,23435306,107.3
7,1.3846153846153846,385483.03,6352975.59,23435305,107.5
8,1.2857142857142858,385433.64,6352967.7,23435304,107.6
9,1.2,385384.06,6352959.9,23435303,107.9
10,1.2,385335.08,6352952.1,23435302,108.4
11,1.2,385285.5,6352944.21,23435301,108.3
12,1.125,385236.42,6352936.41,23435300,108.5
13,1.3846153846153846,385186.54,6352928.51,23435299,108.5
14,1.3846153846153846,385137.66,6352920.71,23435298,108.4
15,1.125,385087.98,6352912.82,23435297,108.8
16,1.2857142857142858,385038.6,6352905.02,23435296,108.2
17,1.0588235294117647,384989.02,6352897.12,23435295,108.9
18,1.0588235294117647,384939.84,6352889.33,23435294,109.0
19,1.2,384890.26,6352881.43,23435293,108.6
20,1.0,384841.08,6352873.63,23435292,108.4
21,1.125,384791.5,6352865.84,23435291,108.6
22,1.0,384742.12,6352857.94,23435290,109.0
23,1.2,384692.94,6352850.14,23435289,108.6
24,1.3846153846153846,384739.82,6352554.56,23375289,108.8
25,1.2857142857142858,384789.5,6352562.46,23375290,109.0
26,1.2857142857142858,384838.78,6352570.26,23375291,108.9
27,1.125,384888.16,6352578.05,23375292,109.7
28,1.2857142857142858,384937.74,6352585.85,23375293,109.4
29,1.2857142857142858,384986.72,6352593.65,23375294,109.4
30,1.2,385036.4,6352601.44,23375295,109.5
31,1.2857142857142858,385085.28,6352609.24,23375296,109.7
32,1.2857142857142858,385135.06,6352617.04,23375297,109.8
33,1.2857142857142858,385183.94,6352624.83,23375298,109.7
34,1.2857142857142858,385233.72,6352632.63,23375299,109.9
35,1.2857142857142858,385282.71,6352640.43,23375300,109.5
36,1.3846153846153846,385332.39,6352648.22,23375301,109.6
37,1.2857142857142858,385381.77,6352656.02,23375302,109.5
38,1.5,385431.15,6352663.82,23375303,109.3
39,1.5,385480.73,6352671.71,23375304,109.4
40,1.125,385529.51,6352679.41,23375305,109.5
41,1.2857142857142858,385579.29,6352687.31,23375306,110.0
42,1.3846153846153846,385628.37,6352695.01,23375307,109.9
43,1.125,385678.45,6352702.9,23375308,109.4
44,1.5,385776.81,6352718.5,23375310,109.3
45,1.3846153846153846,385826.09,6352726.29,23375311,109.4
46,1.3846153846153846,385875.57,6352734.19,23375312,109.4
47,1.125,385922.45,6352438.01,23315312,109.8
48,1.2857142857142858,385872.87,6352430.11,23315311,110.0
49,1.3846153846153846,385823.49,6352422.31,23315310,110.0
50,1.2857142857142858,385774.51,6352414.52,23315309,110.1
51,0.8181818181818182,386298.4,6350066.66,22835312,111.5
52,1.2,385725.03,6352406.72,23315308,110.0
53,1.125,386248.92,6350058.86,22835311,111.8
54,1.2,386199.14,6350051.06,22835310,111.5
55,1.125,385675.95,6352398.92,23315307,109.9
56,1.2857142857142858,386149.96,6350043.27,22835309,111.5
57,1.2857142857142858,385626.27,6352391.13,23315306,109.9
58,1.125,386100.48,6350035.47,22835308,111.5
59,1.125,386051.2,6350027.67,22835307,111.4
60,1.125,385576.69,6352383.23,23315305,109.8
61,1.2,386001.72,6350019.88,22835306,111.4
62,1.125,385952.74,6350012.18,22835305,111.6
63,1.2,385478.23,6352367.94,23315303,109.9
64,1.2,385903.06,6350004.28,22835304,111.7
65,1.3846153846153846,385428.55,6352360.14,23315302,110.0
66,1.2857142857142858,385853.68,6349996.49,22835303,111.5
67,1.3846153846153846,385379.97,6352352.44,23315301,110.2
68,1.3846153846153846,385804.3,6349988.79,22835302,111.8
69,1.2857142857142858,385329.89,6352344.55,23315300,110.3
70,1.2857142857142858,385755.22,6349980.99,22835301,111.8
71,1.3846153846153846,385280.61,6352336.85,23315299,110.9
72,1.5,385705.74,6349973.19,22835300,111.8
73,1.2,385231.33,6352329.15,23315298,110.1
74,1.2857142857142858,385656.16,6349965.4,22835299,111.7
75,1.0588235294117647,385181.75,6352321.35,23315297,110.0
76,1.5,385606.48,6349957.5,22835298,111.7
77,1.0,385132.47,6352313.56,23315296,110.1
78,1.6363636363636365,385557.8,6349949.9,22835297,111.7
79,1.2,385083.09,6352305.86,23315295,110.5
80,1.2857142857142858,385508.41,6349942.11,22835296,112.0
81,1.0588235294117647,385033.41,6352298.06,23315294,110.3
82,1.2857142857142858,385458.83,6349934.31,22835295,111.9
83,1.2,384984.12,6352290.37,23315293,110.4
84,1.2,385409.65,6349926.51,22835294,112.1
85,1.2857142857142858,384935.14,6352282.67,23315292,110.1
86,1.0,385359.87,6349918.72,22835293,112.2
87,1.2857142857142858,384885.46,6352274.87,23315291,109.9
88,0.8571428571428571,385310.69,6349910.92,22835292,112.4
89,1.2857142857142858,384836.08,6352267.08,23315290,110.0
90,0.9,385261.31,6349903.12,22835291,112.2
91,1.2857142857142858,384786.6,6352259.38,23315289,110.1
92,0.9,385212.23,6349895.43,22835290,112.4
93,1.125,385162.35,6349887.53,22835289,112.2
94,1.5,385115.47,6350185.31,22895289,112.1
95,1.2857142857142858,384833.98,6351962.2,23255289,111.0
96,1.125,384883.07,6351969.9,23255290,111.2
97,1.2857142857142858,385164.95,6350193.21,22895290,111.8
98,1.2,385214.33,6350201.0,22895291,111.8
99,1.2,384932.35,6351977.69,23255291,111.3
100,1.2857142857142858,385263.71,6350208.9,22895292,112.0
101,1.125,384981.73,6351985.59,23255292,111.3
102,1.5,385312.99,6350216.7,22895293,111.7
103,1.2,385031.31,6351993.39,23255293,111.2
104,1.2,385362.37,6350224.49,22895294,111.4
105,1.125,385080.79,6352001.18,23255294,111.0
106,1.3846153846153846,385130.37,6352009.08,23255295,110.8
107,1.5,385460.93,6350240.19,22895296,111.7
108,1.2,385510.31,6350247.98,22895297,111.6
109,1.2,385179.55,6352016.88,23255296,110.9
110,1.2857142857142858,385228.83,6352024.67,23255297,110.4
111,1.3846153846153846,385559.59,6350255.78,22895298,111.6
112,1.125,385608.97,6350263.68,22895299,111.4
113,1.2,385278.01,6352032.47,23255298,110.6
114,1.2,385658.55,6350271.47,22895300,111.9
115,1.3846153846153846,385327.39,6352040.27,23255299,110.5
116,0.9473684210526316,385707.94,6350279.37,22895301,111.5
117,1.3846153846153846,385376.97,6352048.06,23255300,110.8
118,0.9473684210526316,385757.12,6350287.17,22895302,111.7
119,1.5,385426.35,6352055.86,23255301,110.5
120,1.2,385806.7,6350294.97,22895303,111.9
121,1.3846153846153846,385855.98,6350302.76,22895304,111.6
122,1.3846153846153846,385476.03,6352063.76,23255302,110.6
123,1.3846153846153846,385905.26,6350310.66,22895305,111.5
124,1.2857142857142858,385524.91,6352071.45,23255303,110.5
125,1.3846153846153846,385954.84,6350318.46,22895306,111.6
126,1.3846153846153846,385574.49,6352079.25,23255304,110.5
127,1.125,386003.92,6350326.25,22895307,111.6
128,1.5,385623.97,6352087.15,23255305,110.2
129,1.2857142857142858,386053.4,6350334.15,22895308,111.7
130,1.125,385673.25,6352094.95,23255306,110.2
131,1.2857142857142858,385722.63,6352102.74,23255307,110.4
132,1.0588235294117647,386102.98,6350341.95,22895309,111.5
133,1.2,385772.01,6352110.54,23255308,110.2
134,0.8571428571428571,386152.06,6350349.74,22895310,111.4
135,1.2857142857142858,385820.99,6352118.34,23255309,110.2
136,1.0588235294117647,386201.54,6350357.64,22895311,111.5
137,1.2,385870.67,6352126.23,23255310,109.9
138,1.2,386250.92,6350365.44,22895312,111.3
139,1.2857142857142858,385920.15,6352134.03,23255311,109.6
140,1.0,385969.23,6352141.83,23255312,109.6
141,1.0,386203.94,6350660.62,22955312,111.2
142,0.9473684210526316,386154.86,6350652.82,22955311,111.0
143,1.0588235294117647,386016.31,6351845.65,23195312,109.7
144,0.8571428571428571,386105.28,6350645.03,22955310,111.3
145,1.2,385966.73,6351837.85,23195311,110.0
146,1.5,385917.85,6351830.05,23195310,109.8
147,1.2857142857142858,386055.8,6350637.13,22955309,111.3
148,1.2857142857142858,385868.17,6351822.15,23195309,110.2
149,0.8181818181818182,386006.62,6350629.43,22955308,111.3
150,1.5,385818.89,6351814.36,23195308,110.2
151,1.5,385769.91,6351806.66,23195307,110.0
152,1.0588235294117647,385957.44,6350621.63,22955307,111.4
153,1.5,385720.33,6351798.76,23195306,110.4
154,1.125,385670.45,6351790.87,23195305,110.3
155,1.2857142857142858,385907.66,6350613.74,22955306,111.2
156,1.3846153846153846,385621.67,6351783.17,23195304,110.2
157,1.3846153846153846,385571.89,6351775.27,23195303,110.3
158,1.2,385809.19,6350598.14,22955304,111.2
159,1.2857142857142858,385522.91,6351767.48,23195302,110.3
160,1.125,385759.81,6350590.35,22955303,111.5
161,1.5,385473.43,6351759.68,23195301,110.2
162,0.9473684210526316,385710.03,6350582.45,22955302,111.3
163,1.5,385423.95,6351751.78,23195300,110.8
164,1.5,385661.05,6350574.75,22955301,111.6
165,1.2857142857142858,385374.47,6351743.99,23195299,111.2
166,1.2,385611.57,6350566.86,22955300,111.2
167,1.6363636363636365,385325.39,6351736.19,23195298,111.1
168,1.2857142857142858,385562.09,6350559.06,22955299,111.2
169,1.3846153846153846,385513.01,6350551.26,22955298,111.4
170,1.3846153846153846,385275.81,6351728.39,23195297,111.0
171,1.2857142857142858,385463.23,6350543.47,22955297,111.3
172,1.2857142857142858,385226.53,6351720.5,23195296,111.2
173,1.2857142857142858,385176.85,6351712.7,23195295,111.2
174,1.125,385414.45,6350535.67,22955296,111.7
175,1.3846153846153846,385364.77,6350527.87,22955295,111.4
176,1.5,385127.87,6351704.9,23195294,111.2
177,1.5,385315.89,6350520.08,22955294,111.7
178,1.2857142857142858,385078.29,6351697.0,23195293,111.2
179,1.2857142857142858,385266.11,6350512.18,22955293,112.2
180,1.3846153846153846,385028.91,6351689.21,23195292,111.2
181,1.3846153846153846,385216.73,6350504.38,22955292,111.9
182,1.2857142857142858,384979.73,6351681.41,23195291,111.3
183,1.2857142857142858,384930.05,6351673.51,23195290,111.2
184,1.2857142857142858,385166.95,6350496.58,22955291,112.1
185,1.3846153846153846,384880.87,6351665.82,23195289,111.2
186,1.3846153846153846,385118.07,6350488.79,22955290,111.6
187,1.5,385068.59,6350480.99,22955289,111.6
188,0.7826086956521741,385021.61,6350776.77,23015289,112.6
189,1.2857142857142858,384927.95,6351369.64,23135289,111.5
190,1.3846153846153846,384977.73,6351377.53,23135290,111.6
191,1.0,385026.91,6351385.33,23135291,111.6
192,1.3846153846153846,385075.99,6351393.13,23135292,111.3
193,1.125,385125.67,6351400.92,23135293,111.4
194,1.2857142857142858,385174.75,6351408.72,23135294,111.3
195,1.6363636363636365,385224.43,6351416.62,23135295,111.5
196,1.3846153846153846,385273.71,6351424.41,23135296,111.4
197,1.2857142857142858,385322.99,6351432.21,23135297,111.3
198,1.5,385372.37,6351440.11,23135298,111.2
199,1.3846153846153846,385421.55,6351447.9,23135299,111.4
200,0.9473684210526316,385071.09,6350784.57,23015290,112.4
201,1.2857142857142858,385471.03,6351455.7,23135300,111.2
202,1.2,385520.61,6351463.5,23135301,110.9
203,1.0,385169.45,6350800.26,23015292,112.2
204,0.8181818181818182,385219.23,6350808.16,23015293,112.1
205,1.2,385569.79,6351471.29,23135302,110.9
206,1.125,385268.01,6350815.86,23015294,111.9
207,1.3846153846153846,385619.17,6351479.19,23135303,110.8
208,1.2857142857142858,385317.99,6350823.75,23015295,111.5
209,1.5,385668.85,6351486.99,23135304,110.5
210,1.3846153846153846,385367.47,6350831.65,23015296,111.2
211,1.3846153846153846,385717.83,6351494.79,23135305,110.6
212,1.3846153846153846,385416.85,6350839.45,23015297,111.2
213,1.3846153846153846,385465.63,6350847.24,23015298,111.1
214,1.6363636363636365,385515.01,6350855.04,23015299,111.0
215,1.0588235294117647,385564.79,6350862.94,23015300,111.2
216,1.2,385614.47,6350870.84,23015301,111.1
217,1.6363636363636365,385664.15,6350878.73,23015302,110.8
218,0.9,385762.01,6350894.23,23015304,110.9
219,0.9473684210526316,385811.49,6350902.12,23015305,110.9
220,1.3846153846153846,385861.47,6350910.02,23015306,110.7
221,1.3846153846153846,385910.35,6350917.82,23015307,110.9
222,0.9473684210526316,385959.23,6350925.51,23015308,110.4
223,1.125,386008.91,6350933.41,23015309,110.6
224,1.0,386058.39,6350941.31,23015310,110.9
225,1.3846153846153846,385767.21,6351502.58,23135306,110.9
226,1.2,386107.98,6350949.1,23015311,110.5
227,1.2,386157.26,6350957.0,23015312,110.5
228,1.2857142857142858,385816.49,6351510.38,23135307,110.2
229,1.2,385866.07,6351518.28,23135308,110.3
230,1.2857142857142858,385915.15,6351526.07,23135309,110.2
231,1.5,385964.73,6351533.87,23135310,109.6
232,1.3846153846153846,386014.21,6351541.77,23135311,110.3
233,1.3846153846153846,386063.29,6351549.56,23135312,110.1
234,1.5,386110.37,6351253.28,23075312,110.6
235,1.2857142857142858,386060.49,6351245.39,23075311,110.4
236,1.0588235294117647,386011.31,6351237.59,23075310,110.4
237,1.2,385961.73,6351229.79,23075309,110.3
238,1.2,385912.65,6351221.99,23075308,110.6
